sample_id,filepath,clean_caption,perturbation_type,model,raw_output,category
467176,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000467176.jpg,a group of people playing a video game,VCD Diffusion Noise,BLIP-2,The image is a group of people playing a video game,Ignored Perturbation
467176,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000467176.jpg,a group of people playing a video game,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a room with a large window. The room is filled with various objects, including a TV, a chair, and a dining table. There are also two people in the room, one located",Other/Irrelevant Description
360325,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000360325.jpg,a herd of sheep with red squares around them,VCD Diffusion Noise,BLIP-2,this image is a photograph of a herd of sheep,Other/Irrelevant Description
360325,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000360325.jpg,a herd of sheep with red squares around them,VCD Diffusion Noise,LLaVA,"The image features two dogs standing next to each other. They are positioned in the center of the scene, with one dog slightly to the left of the other. The dogs appear to be looking at something, possibly a camera or a person.",Other/Irrelevant Description
489611,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000489611.jpg,a child playing a video game,VCD Diffusion Noise,BLIP-2,A young boy playing a video game,Ignored Perturbation
489611,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000489611.jpg,a child playing a video game,VCD Diffusion Noise,LLaVA,"The image is a black and white photo of a young boy playing a video game. He is holding a Wii remote in his hand, fully engaged in the game. The boy appears to be enjoying the experience, as he is the main focus",Other/Irrelevant Description
6723,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000006723.jpg,a street with red and green arrows on it,VCD Diffusion Noise,BLIP-2,A street scene,Other/Irrelevant Description
6723,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000006723.jpg,a street with red and green arrows on it,VCD Diffusion Noise,LLaVA,"The image is a blurry, colorful photo of a city street. The street is lined with buildings on both sides, and there is a traffic light visible in the scene. The street appears to be empty, with no cars or ped",Acknowledged Perturbation
334521,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000334521.jpg,a giraffe and a bird in a zoo,VCD Diffusion Noise,BLIP-2,This image is a giraffe in a zoo,Ignored Perturbation
334521,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000334521.jpg,a giraffe and a bird in a zoo,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a person standing in front of a building. The person appears to be the main focus of the scene, with the building in the background. The image is a mix of colors, giving it a",Other/Irrelevant Description
306700,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000306700.jpg,a woman holding a pizza,VCD Diffusion Noise,BLIP-2,A woman is holding a large pizza,Ignored Perturbation
306700,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000306700.jpg,a woman holding a pizza,VCD Diffusion Noise,LLaVA,"The image features a woman standing in front of a large pizza. She is holding the pizza in her hands, showcasing its size and delicious appearance. The pizza is placed on a dining table, which occupies a significant",Other/Irrelevant Description
256195,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000256195.jpg,a train,VCD Diffusion Noise,BLIP-2,A train on the tracks,Ignored Perturbation
256195,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000256195.jpg,a train,VCD Diffusion Noise,LLaVA,"The image features a large red train with a yellow stripe on the side, traveling down the tracks. The train occupies a significant portion of the image, stretching from the left to the right side. The train appears to be a passenger",Other/Irrelevant Description
180560,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000180560.jpg,a woman with a birthday cake,VCD Diffusion Noise,BLIP-2,a woman is standing in front of a cake with candles on it,Other/Irrelevant Description
180560,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000180560.jpg,a woman with a birthday cake,VCD Diffusion Noise,LLaVA,"The image features two people standing next to each other, with a birthday cake between them. The cake is placed on a dining table, which is located in the background. The two individuals appear to be enjoying the celebration,",Other/Irrelevant Description
466125,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000466125.jpg,a little girl holding an umbrella,VCD Diffusion Noise,BLIP-2,A woman is holding an umbrella,Other/Irrelevant Description
466125,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000466125.jpg,a little girl holding an umbrella,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a woman holding a baseball bat. She appears to be the main focus of the scene, with the bat prominently in her hand. The picture is a mix of colors, giving it a",Other/Irrelevant Description
51610,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000051610.jpg,a baby sitting in front of a laptop,VCD Diffusion Noise,BLIP-2,a child sitting on a bed with a laptop,Other/Irrelevant Description
51610,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000051610.jpg,a baby sitting in front of a laptop,VCD Diffusion Noise,LLaVA,"The image features a person sitting at a desk, working on a laptop. The laptop is placed on the desk, and the person is seated in front of it. The scene is set in a room with a dining table in the",Other/Irrelevant Description
496722,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000496722.jpg,a red post box,VCD Diffusion Noise,BLIP-2,A post box on a street corner,Other/Irrelevant Description
496722,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000496722.jpg,a red post box,VCD Diffusion Noise,LLaVA,"The image is a blurry, colorful photo of a street scene. The street is lined with streetlights, and there are several cars parked along the road. The cars are of various sizes and are positioned at different distances",Acknowledged Perturbation
97022,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000097022.jpg,a kitchen with a microwave and a dishwasher,VCD Diffusion Noise,BLIP-2,"A kitchen with a refrigerator, stove, and sink",Other/Irrelevant Description
97022,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000097022.jpg,a kitchen with a microwave and a dishwasher,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a kitchen. The kitchen features a sink, a refrigerator, and a microwave. The sink is located on the left side of the kitchen, while the refrigerator",Other/Irrelevant Description
458223,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000458223.jpg,a man and a woman walking on a pier,VCD Diffusion Noise,BLIP-2,The image is a photograph of a lighthouse on a pier in the harbor of a small town in the north of the united states,Other/Irrelevant Description
458223,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000458223.jpg,a man and a woman walking on a pier,VCD Diffusion Noise,LLaVA,"The image features a group of people standing on a rocky hillside. There are at least five people in the scene, with some of them closer to the foreground and others further back. The people are scattered across the hillside, with some",Other/Irrelevant Description
313130,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000313130.jpg,a refrigerator and microwave in a kitchen,VCD Diffusion Noise,BLIP-2,A refrigerator and a microwave,Ignored Perturbation
313130,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000313130.jpg,a refrigerator and microwave in a kitchen,VCD Diffusion Noise,LLaVA,"The image features a kitchen with a refrigerator and a microwave oven. The refrigerator is located on the left side of the kitchen, while the microwave is situated on the right side. The kitchen appears to",Ignored Perturbation
479126,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000479126.jpg,a woman sitting outside with a laptop,VCD Diffusion Noise,BLIP-2,A woman is sitting on a bench with a laptop,Ignored Perturbation
479126,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000479126.jpg,a woman sitting outside with a laptop,VCD Diffusion Noise,LLaVA,"The image features a man and a woman sitting next to each other, both using laptops. They are positioned in the center of the scene, with the man on the left and the woman on the right. The laptops are placed",Other/Irrelevant Description
74092,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000074092.jpg,a woman playing tennis,VCD Diffusion Noise,BLIP-2,A tennis player is about to hit a ball,Other/Irrelevant Description
74092,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000074092.jpg,a woman playing tennis,VCD Diffusion Noise,LLaVA,"The image features a person playing tennis, swinging a tennis racket at a ball. The tennis player is in the middle of the action, with the ball in the air. The scene is captured in a colorful, pixelated style, giving",Other/Irrelevant Description
516318,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000516318.jpg,a surfer riding a wave,VCD Diffusion Noise,BLIP-2,A man is riding a wave on a surfboard,Other/Irrelevant Description
516318,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000516318.jpg,a surfer riding a wave,VCD Diffusion Noise,LLaVA,"The image features a person riding a surfboard on a wave in the ocean. The person is skillfully navigating the wave, showcasing their surfing abilities. The scene is captured in a blurry, pixelated",Acknowledged Perturbation
223789,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000223789.jpg,a bathroom sink with red roses on the counter,VCD Diffusion Noise,BLIP-2,A bathroom with a bathtub and a sink,Other/Irrelevant Description
223789,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000223789.jpg,a bathroom sink with red roses on the counter,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a city street. The street is lined with buildings, and there are several people walking along the sidewalk. Some of the individuals are carrying handbags, adding to the bustling",Other/Irrelevant Description
399764,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000399764.jpg,a man holding a cow,VCD Diffusion Noise,BLIP-2,A man is walking a cow,Ignored Perturbation
399764,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000399764.jpg,a man holding a cow,VCD Diffusion Noise,LLaVA,"The image features a man standing next to a brown horse. The man appears to be holding the horse's reins, possibly preparing for a ride or leading the horse. The horse is positioned towards the left side of the image, while",Other/Irrelevant Description
378454,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000378454.jpg,a man jumping into the air,VCD Diffusion Noise,BLIP-2,The image is a person flying a kite on a beach,Other/Irrelevant Description
378454,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000378454.jpg,a man jumping into the air,VCD Diffusion Noise,LLaVA,"The image features a person in the middle of a beach scene, captured in a blurry photo. The person appears to be in motion, possibly running or playing. The beach setting is further emphasized by the presence of a surfboard in",Acknowledged Perturbation
167572,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000167572.jpg,a sandwich on a plate,VCD Diffusion Noise,BLIP-2,a red square with a green square in the middle,Other/Irrelevant Description
167572,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000167572.jpg,a sandwich on a plate,VCD Diffusion Noise,LLaVA,"The image features a close-up of a variety of fruits and vegetables. There are several apples, with some placed in the center and others scattered around the scene. A few oranges are also visible, with one located in the top",Other/Irrelevant Description
128476,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000128476.jpg,a cake,VCD Diffusion Noise,BLIP-2,This image is a photograph of a cake,Other/Irrelevant Description
128476,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000128476.jpg,a cake,VCD Diffusion Noise,LLaVA,"The image is a close-up of a colorful, patterned cake with a variety of toppings. The cake is placed on a dining table, and it appears to be a delicious dessert. The table is surrounded by",Other/Irrelevant Description
231822,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000231822.jpg,a meal,VCD Diffusion Noise,BLIP-2,A plate of food and drinks,Other/Irrelevant Description
231822,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000231822.jpg,a meal,VCD Diffusion Noise,LLaVA,"The image features a dining table with various food items and drinks on it. There are two pizzas on the table, one closer to the left side and the other towards the right side. A sandwich is also present on the table",Other/Irrelevant Description
440475,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000440475.jpg,a living room with a tv and furniture,VCD Diffusion Noise,BLIP-2,This is a picture of a room in a house. The room is dark and has a lot of furniture in it. The room is in a house.,Other/Irrelevant Description
440475,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000440475.jpg,a living room with a tv and furniture,VCD Diffusion Noise,LLaVA,"The image is a close-up of a room with a television mounted on the wall. The television is positioned towards the center of the room. The room appears to be a living room or a similar space.

There are two chairs",Other/Irrelevant Description
28285,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000028285.jpg,a clock tower with a blue sky,VCD Diffusion Noise,BLIP-2,A clock tower,Ignored Perturbation
28285,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000028285.jpg,a clock tower with a blue sky,VCD Diffusion Noise,LLaVA,"The image features a large, ornate building with a clock tower on top. The building has a clock on its side, making it a prominent feature in the scene. The clock is visible on the side of the building, and the building itself appears",Other/Irrelevant Description
449406,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000449406.jpg,a zebra standing in a field,VCD Diffusion Noise,BLIP-2,A zebra in a field,Ignored Perturbation
449406,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000449406.jpg,a zebra standing in a field,VCD Diffusion Noise,LLaVA,"The image features a zebra standing in a grassy field. The zebra is positioned in the center of the scene, surrounded by a lush green environment. The field appears to be a mix of grass and dirt, providing",Other/Irrelevant Description
468332,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000468332.jpg,a man and a child with a red box around them,VCD Diffusion Noise,BLIP-2,"This image is a composite of two images, one of which is a photograph of a person and the other is a photograph of a person and a dog",Other/Irrelevant Description
468332,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000468332.jpg,a man and a child with a red box around them,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a group of people sitting on a bench. There are at least five people in the scene, with some sitting closer to the foreground and others further back. The people are arranged in a",Other/Irrelevant Description
580294,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000580294.jpg,a woman cooking in a kitchen,VCD Diffusion Noise,BLIP-2,A person is standing in front of a stove,Other/Irrelevant Description
580294,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000580294.jpg,a woman cooking in a kitchen,VCD Diffusion Noise,LLaVA,"The image is a close-up of a dining table with various items on it. There is a bowl placed on the table, and a spoon is resting nearby. A chair is positioned in front of the table, and a",Other/Irrelevant Description
225184,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000225184.jpg,a dog and sheep in a field,VCD Diffusion Noise,BLIP-2,A dog is standing in a field with a sheep,Ignored Perturbation
225184,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000225184.jpg,a dog and sheep in a field,VCD Diffusion Noise,LLaVA,"The image is a blurry, pixelated photo of a field with a few people in it. There are at least five people visible in the field, with some of them standing closer to the foreground and others further back. The field appears",Acknowledged Perturbation
226171,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000226171.jpg,"a desk with a computer, mouse, and a cup",VCD Diffusion Noise,BLIP-2,A computer screen with a picture of a cat on it,Other/Irrelevant Description
226171,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000226171.jpg,"a desk with a computer, mouse, and a cup",VCD Diffusion Noise,LLaVA,"The image features a wooden desk with a computer monitor and a laptop placed on it. The laptop is positioned towards the left side of the desk, while the computer monitor is located more towards the center. 

There are two key",Other/Irrelevant Description
396526,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000396526.jpg,a room with a table and chairs in it,VCD Diffusion Noise,BLIP-2,The image is a photograph of a room in a house,Other/Irrelevant Description
396526,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000396526.jpg,a room with a table and chairs in it,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a room with a large window. The room features a dining table, a chair, and a couch. The dining table is located in the center of the room, while the chair",Other/Irrelevant Description
482436,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000482436.jpg,a man standing in front of a store,VCD Diffusion Noise,BLIP-2,The image is a photograph of a man standing in front of a window in a building,Other/Irrelevant Description
482436,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000482436.jpg,a man standing in front of a store,VCD Diffusion Noise,LLaVA,"The image is a blurry photo of a room with a dining table in the center. There are two people in the room, one standing closer to the left side and the other person standing more towards the right side. The room also features",Acknowledged Perturbation
363666,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000363666.jpg,a group of people eating at a table,VCD Diffusion Noise,BLIP-2,The image is a group of people sitting at a table eating food,Ignored Perturbation
363666,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000363666.jpg,a group of people eating at a table,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a dining table filled with various food items. The table is set with multiple plates of food, including pizza, and a few bowls. There are also a couple of cups",Other/Irrelevant Description
61471,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000061471.jpg,a dog sniffing a toilet in a bathroom,VCD Diffusion Noise,BLIP-2,This is a dog in a bathroom,Ignored Perturbation
61471,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000061471.jpg,a dog sniffing a toilet in a bathroom,VCD Diffusion Noise,LLaVA,"The image is a close-up of a dog's face, with a focus on its eyes. The dog appears to be looking at the camera, and its eyes are the main point of interest in the photo. The rest of the dog'",Other/Irrelevant Description
401862,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000401862.jpg,a group of people standing in line to get food,VCD Diffusion Noise,BLIP-2,This image is a red square with a black rectangle in the middle,Other/Irrelevant Description
401862,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000401862.jpg,a group of people standing in line to get food,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a group of people standing outside. There are at least five people in the scene, with some of them standing closer to the foreground and others further back. The people are scattered throughout the image",Other/Irrelevant Description
141597,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000141597.jpg,a van parked next to a car,VCD Diffusion Noise,BLIP-2,a car is parked in front of a building,Ignored Perturbation
141597,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000141597.jpg,a van parked next to a car,VCD Diffusion Noise,LLaVA,"The image is a blurry photo of a parking lot with several cars parked. The cars are scattered throughout the lot, with some closer to the foreground and others further back. The parking lot appears to be quite busy, with",Acknowledged Perturbation
235241,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000235241.jpg,a woman throwing a frisbee,VCD Diffusion Noise,BLIP-2,A woman is throwing a frisbee,Ignored Perturbation
235241,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000235241.jpg,a woman throwing a frisbee,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a woman and a man. The woman is wearing a red shirt and appears to be throwing a frisbee. The man is standing next to her, possibly watching the action or",Other/Irrelevant Description
20107,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000020107.jpg,a fire hydrant,VCD Diffusion Noise,BLIP-2,A man is sitting on a bench,Other/Irrelevant Description
20107,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000020107.jpg,a fire hydrant,VCD Diffusion Noise,LLaVA,"The image is a colorful, abstract artwork featuring a person in the center. The person appears to be wearing a dress, and the artwork is filled with vibrant colors, creating a lively atmosphere. The person is surrounded by",Other/Irrelevant Description
529568,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000529568.jpg,a kitchen with a chandelier and a sink,VCD Diffusion Noise,BLIP-2,"A kitchen with a table, a sink, a refrigerator, a stove, a chandelier, and a mirror",Ignored Perturbation
529568,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000529568.jpg,a kitchen with a chandelier and a sink,VCD Diffusion Noise,LLaVA,"The image is a close-up of a kitchen counter, featuring a sink and a dishwasher. The counter is cluttered with various items, including multiple bottles, cups, and a bowl. There are also a",Other/Irrelevant Description
245576,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000245576.jpg,a cat,VCD Diffusion Noise,BLIP-2,A cat is sitting on a keyboard,Other/Irrelevant Description
245576,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000245576.jpg,a cat,VCD Diffusion Noise,LLaVA,"The image features a cat sitting on a computer keyboard. The cat is positioned in the center of the keyboard, occupying a significant portion of the space. The keyboard is located in the lower part of the image.

In the background,",Other/Irrelevant Description
359540,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000359540.jpg,a baseball player swinging a bat,VCD Diffusion Noise,BLIP-2,A baseball game,Other/Irrelevant Description
359540,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000359540.jpg,a baseball player swinging a bat,VCD Diffusion Noise,LLaVA,"The image is a blurry, colorful photo of a baseball game in progress. There are several people in the scene, with some of them wearing baseball gloves. The players are spread out across the field, with some closer to the",Acknowledged Perturbation
125850,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000125850.jpg,a cat sleeping in a bowl,VCD Diffusion Noise,BLIP-2,a black and white photograph of a plate with a small black object in the center,Other/Irrelevant Description
125850,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000125850.jpg,a cat sleeping in a bowl,VCD Diffusion Noise,LLaVA,"The image is a close-up of a black and white photo of a cat. The cat is sitting in the center of the photo, and its features are clearly visible. The photo appears to be a collage of different shots of the cat",Other/Irrelevant Description
140840,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000140840.jpg,a kite flying in a field,VCD Diffusion Noise,BLIP-2,A man is standing in a field with a baseball bat,Other/Irrelevant Description
140840,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000140840.jpg,a kite flying in a field,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a field with a large building in the background. The field is filled with various objects, including a couple of people, a dog, and a couple of birds. The people and the dog are",Other/Irrelevant Description
52462,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000052462.jpg,two zebras in a field,VCD Diffusion Noise,BLIP-2,The image is of two zebras in a field,Ignored Perturbation
52462,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000052462.jpg,two zebras in a field,VCD Diffusion Noise,LLaVA,"The image features two zebras standing next to each other in a grassy field. The zebras are positioned in the center of the scene, with one zebra slightly to the left of the other. The field appears to be",Ignored Perturbation
398377,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000398377.jpg,a group of people sitting on a train,VCD Diffusion Noise,BLIP-2,The image is a group of people sitting on a train,Ignored Perturbation
398377,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000398377.jpg,a group of people sitting on a train,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of three people sitting together. They are all wearing black clothing, and they appear to be enjoying their time together. The people are positioned in the center of the image, with one",Other/Irrelevant Description
337498,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000337498.jpg,a pizza with a red circle around it,VCD Diffusion Noise,BLIP-2,A pizza on a plate,Other/Irrelevant Description
337498,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000337498.jpg,a pizza with a red circle around it,VCD Diffusion Noise,LLaVA,"The image features a close-up view of a delicious-looking pizza on a white plate. The pizza is placed on a dining table, and it appears to be a cheese pizza. The pizza is the main focus",Other/Irrelevant Description
368294,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000368294.jpg,a man working in a factory,VCD Diffusion Noise,BLIP-2,"a woman is sitting in a chair, holding a book",Other/Irrelevant Description
368294,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000368294.jpg,a man working in a factory,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a person sitting at a desk. The person appears to be using a computer, with a keyboard and a mouse placed in front of them. The scene is set in a room with a chair",Other/Irrelevant Description
89078,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000089078.jpg,a woman snowboarding,VCD Diffusion Noise,BLIP-2,A person is snowboarding,Other/Irrelevant Description
89078,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000089078.jpg,a woman snowboarding,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a person standing on a snowboard. The person appears to be wearing a red jacket, and they are positioned in the center of the scene. The snowboard is located beneath their",Other/Irrelevant Description
163314,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000163314.jpg,people walking down the street with red lines drawn around them,VCD Diffusion Noise,BLIP-2,A street scene,Other/Irrelevant Description
163314,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000163314.jpg,people walking down the street with red lines drawn around them,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a building. The building appears to be a mix of old and new architecture, with a blend of red and white colors. The photo is a bit distorted, giving it a unique and",Acknowledged Perturbation
180792,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000180792.jpg,a bathroom with a toilet and a toilet seat,VCD Diffusion Noise,BLIP-2,This is a picture of a toilet,Other/Irrelevant Description
180792,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000180792.jpg,a bathroom with a toilet and a toilet seat,VCD Diffusion Noise,LLaVA,"The image is a colorful, abstract painting of a building. The building is depicted in a vibrant and artistic manner, with a mix of colors and patterns. The painting captures the essence of the building, making it an",Other/Irrelevant Description
196141,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000196141.jpg,a baseball player swinging a bat,VCD Diffusion Noise,BLIP-2,A baseball player is about to swing at a pitch,Other/Irrelevant Description
196141,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000196141.jpg,a baseball player swinging a bat,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated picture of a baseball player in action. The player is holding a baseball bat and is in the process of swinging it. The scene captures the excitement and energy of the game.

There are",Ignored Perturbation
575815,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000575815.jpg,a pizza on a cutting board,VCD Diffusion Noise,BLIP-2,A pizza with a lot of toppings,Other/Irrelevant Description
575815,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000575815.jpg,a pizza on a cutting board,VCD Diffusion Noise,LLaVA,"The image features a close-up of a pizza with a variety of toppings. The pizza is placed on a dining table, and it appears to be a delicious and appetizing meal. The pizza is surrounded by",Other/Irrelevant Description
460929,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000460929.jpg,a hot dog and a bottle of bubbly,VCD Diffusion Noise,BLIP-2,A bottle of beer and a hot dog,Ignored Perturbation
460929,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000460929.jpg,a hot dog and a bottle of bubbly,VCD Diffusion Noise,LLaVA,"The image is a close-up of a bottle of beer, with a green label. The bottle is placed on a table, and it appears to be the main focus of the scene. The bottle is positioned in the center",Other/Irrelevant Description
335427,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000335427.jpg,a bowl of broccoli with a red box around it,VCD Diffusion Noise,BLIP-2,a bowl of broccoli with a spoon and a fork,Other/Irrelevant Description
335427,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000335427.jpg,a bowl of broccoli with a red box around it,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a street scene. The street is lined with trees, creating a pleasant atmosphere. There are several cars parked along the street, with some closer to the foreground and others further back.",Other/Irrelevant Description
335177,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000335177.jpg,a street with a car parked on it,VCD Diffusion Noise,BLIP-2,A street scene,Other/Irrelevant Description
335177,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000335177.jpg,a street with a car parked on it,VCD Diffusion Noise,LLaVA,"The image features a street with a curved sidewalk, where a car is parked on the side of the road. The street is lined with trees, creating a pleasant atmosphere. There are several cars parked along the street, with one",Ignored Perturbation
568439,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000568439.jpg,a man standing in front of a bus,VCD Diffusion Noise,BLIP-2,A man is standing on the street in front of a bus,Ignored Perturbation
568439,/content/drive/MyDrive/VLM_Project_Data/DATASET/val2017/000000568439.jpg,a man standing in front of a bus,VCD Diffusion Noise,LLaVA,"The image is a colorful, pixelated photo of a city street. There are several buses parked along the street, with one bus located near the center of the image and two others positioned closer to the left side.",Other/Irrelevant Description
